date,Deep Work
2018-12-03,235.0
2018-12-04,308.0
2018-12-05,246.0
2018-12-06,211.0
2018-12-07,344.0
2018-12-08,105.0
2018-12-09,36.0
2018-12-10,169.0
2018-12-11,241.0
2018-12-12,244.0
2018-12-13,232.0
2018-12-14,337.0
2018-12-15,165.0
2018-12-16,71.0
2018-12-17,254.0
2018-12-18,337.0
2018-12-19,398.0
2018-12-20,261.0
2018-12-21,217.0
2018-12-22,141.0
2018-12-23,167.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,221.0
2018-12-30,142.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,234.0
2019-01-03,246.0
2019-01-04,81.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,195.0
2019-01-08,133.0
2019-01-09,299.0
2019-01-10,205.0
2019-01-11,79.0
2019-01-12,157.0
2019-01-13,95.0
2019-01-14,365.0
2019-01-15,211.0
2019-01-16,136.0
2019-01-17,53.0
2019-01-18,180.0
2019-01-19,228.0
2019-01-20,106.0
2019-01-21,358.0
2019-01-22,284.0
2019-01-23,279.0
2019-01-24,279.0
2019-01-25,173.0
2019-01-26,276.0
2019-01-27,214.0
2019-01-28,312.0
2019-01-29,295.0
2019-01-30,298.0
2019-01-31,328.0
2019-02-01,291.0
2019-02-02,212.0
2019-02-03,130.0
2019-02-04,405.0
2019-02-05,363.0
2019-02-06,393.0
2019-02-07,444.0
2019-02-08,358.0
2019-02-09,183.0
2019-02-10,67.0
2019-02-11,312.0
2019-02-12,330.0
2019-02-13,441.0
2019-02-14,539.0
2019-02-15,228.0
2019-02-16,243.0
2019-02-17,0.0
2019-02-18,313.0
2019-02-19,285.0
2019-02-20,286.0
2019-02-21,380.0
2019-02-22,75.0
2019-02-23,77.0
2019-02-24,113.0
2019-02-25,261.0
2019-02-26,232.0
2019-02-27,211.0
2019-02-28,134.0
2019-03-01,219.0
2019-03-02,234.0
2019-03-03,79.0
2019-03-04,306.0
2019-03-05,436.0
2019-03-06,181.0
2019-03-07,335.0
2019-03-08,315.0
2019-03-09,147.0
2019-03-10,60.0
2019-03-11,302.0
2019-03-12,278.0
2019-03-13,348.0
2019-03-14,184.0
2019-03-15,28.0
2019-03-16,36.0
2019-03-17,0.0
2019-03-18,279.0
2019-03-19,284.0
2019-03-20,304.0
2019-03-21,325.0
2019-03-22,300.0
2019-03-23,61.0
2019-03-24,0.0
2019-03-25,265.0
2019-03-26,276.0
2019-03-27,179.0
2019-03-28,202.0
2019-03-29,115.0
2019-03-30,0.0
2019-03-31,0.0
2019-04-01,193.0
2019-04-02,74.0
2019-04-03,261.0
2019-04-04,309.0
2019-04-05,244.0
2019-04-06,225.0
2019-04-07,197.0
2019-04-08,169.0
2019-04-09,191.0
2019-04-10,53.0
2019-04-11,0.0
2019-04-12,0.0
2019-04-13,0.0
2019-04-14,0.0
2019-04-15,158.0
2019-04-16,0.0
2019-04-17,329.0
2019-04-18,184.0
2019-04-19,155.0
2019-04-20,0.0
2019-04-21,265.0
2019-04-22,0.0
2019-04-23,115.0
2019-04-24,59.0
2019-04-25,158.0
2019-04-26,151.0
2019-04-27,45.0
2019-04-28,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,174.0
2019-05-02,0.0
2019-05-03,79.0
2019-05-04,135.0
2019-05-05,50.0
2019-05-06,90.0
2019-05-07,209.0
2019-05-08,158.0
2019-05-09,93.0
2019-05-10,17.0
2019-05-11,0.0
2019-05-12,59.0
2019-05-13,0.0
2019-05-14,106.0
2019-05-15,66.0
2019-05-16,112.0
2019-05-17,62.0
2019-05-18,116.0
2019-05-19,39.0
2019-05-20,180.0
2019-05-21,58.0
2019-05-22,69.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-25,167.0
2019-05-26,183.0
2019-05-27,180.0
2019-05-28,0.0
2019-05-29,149.0
2019-05-30,0.0
2019-05-31,54.0
2019-06-01,0.0
2019-06-02,40.0
2019-06-03,159.0
2019-06-04,103.0
2019-06-05,74.0
2019-06-06,97.0
2019-06-07,134.0
2019-06-08,217.0
2019-06-09,76.0
2019-06-10,0.0
2019-06-11,203.0
2019-06-12,0.0
2019-06-13,20.0
2019-06-14,0.0
2019-06-15,0.0
2019-06-16,65.0
2019-06-17,198.0
2019-06-18,270.0
2019-06-19,291.0
2019-06-20,189.0
2019-06-21,279.0
2019-06-22,0.0
2019-06-23,278.0
2019-06-24,240.0
2019-06-25,0.0
2019-06-26,0.0
2019-06-27,109.0
2019-06-28,309.0
2019-06-29,0.0
2019-06-30,0.0
2019-07-01,0.0
2019-07-02,0.0
2019-07-03,123.0
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-08-31,
2019-09-01,
2019-09-02,
2019-09-03,
2019-09-04,
2019-09-05,
2019-09-06,
2019-09-07,
2019-09-08,
2019-09-09,
2019-09-10,
2019-09-11,
2019-09-12,
2019-09-13,
2019-09-14,
2019-09-15,
2019-09-16,
2019-09-17,
2019-09-18,
2019-09-19,
2019-09-20,
2019-09-21,
2019-09-22,
2019-09-23,
2019-09-24,
2019-09-25,
2019-09-26,
2019-09-27,
2019-09-28,
2019-09-29,
2019-09-30,
2019-10-01,
2019-10-02,
2019-10-03,
2019-10-04,
2019-10-05,
2019-10-06,
2019-10-07,
2019-10-08,
2019-10-09,
2019-10-10,
2019-10-11,
2019-10-12,
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
2019-11-01,
2019-11-02,
2019-11-03,
2019-11-04,
2019-11-05,
2019-11-06,
2019-11-07,
2019-11-08,
2019-11-09,
2019-11-10,
2019-11-11,
2019-11-12,
2019-11-13,
2019-11-14,
2019-11-15,
2019-11-16,
2019-11-17,
2019-11-18,
2019-11-19,
2019-11-20,
2019-11-21,
2019-11-22,
2019-11-23,
2019-11-24,
2019-11-25,
2019-11-26,
2019-11-27,
2019-11-28,
2019-11-29,
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-17,
2019-12-18,
2019-12-19,
2019-12-20,
2019-12-21,
2019-12-22,
2019-12-23,
2019-12-24,
2019-12-25,
2019-12-26,
2019-12-27,
2019-12-28,
2019-12-29,
2019-12-30,
2019-12-31,
