Task,Start,Finish,Duration,Date,ideal_schedule
Deep Work,2018-11-20 08:00:00,2018-11-20 09:05:00,0 days 01:05:00.000000000,2018-11-20 00:00:00,True
Deep Work,2018-11-20 09:23:00,2018-11-20 10:28:00,0 days 01:05:00.000000000,2018-11-20 00:00:00,True
Deep Work,2018-11-20 10:46:00,2018-11-20 11:51:00,0 days 01:05:00.000000000,2018-11-20 00:00:00,True
Deep Work,2018-11-20 12:09:00,2018-11-20 13:14:00,0 days 01:05:00.000000000,2018-11-20 00:00:00,True
Deep Work,2018-11-20 13:32:00,2018-11-20 14:37:00,0 days 01:05:00.000000000,2018-11-20 00:00:00,True
Deep Work,2018-11-20 14:55:00,2018-11-20 16:00:00,0 days 01:05:00.000000000,2018-11-20 00:00:00,True
Gym,2018-11-20 16:00:00,2018-11-20 18:00:00,0 days 02:00:00.000000000,2018-11-20 00:00:00,True
Learning,2018-11-20 19:00:00,2018-11-20 19:30:00,0 days 00:30:00.000000000,2018-11-20 00:00:00,True
Shallow Work,2018-11-20 19:45:00,2018-11-20 20:45:00,0 days 01:00:00.000000000,2018-11-20 00:00:00,True
Learning,2018-11-20 21:00:00,2018-11-20 23:00:00,0 days 02:00:00.000000000,2018-11-20 00:00:00,True
Deep Work,2018-12-03 09:01:00,2018-12-03 09:35:00,0 days 00:34:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 10:18:00,2018-12-03 10:32:00,0 days 00:14:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 10:33:00,2018-12-03 11:03:00,0 days 00:30:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 11:09:00,2018-12-03 11:59:00,0 days 00:50:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 13:31:00,2018-12-03 13:49:00,0 days 00:18:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 14:43:00,2018-12-03 15:22:00,0 days 00:39:00.000000000,2018-12-03 00:00:00,False
Shallow Work,2018-12-03 15:49:00,2018-12-03 16:39:00,0 days 00:50:00.000000000,2018-12-03 00:00:00,False
Learning,2018-12-03 16:53:00,2018-12-03 17:32:00,0 days 00:39:00.000000000,2018-12-03 00:00:00,False
Learning,2018-12-03 19:17:00,2018-12-03 19:59:00,0 days 00:42:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 21:45:00,2018-12-03 21:55:00,0 days 00:10:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-03 22:11:00,2018-12-03 22:51:00,0 days 00:40:00.000000000,2018-12-03 00:00:00,False
Deep Work,2018-12-04 08:56:00,2018-12-04 10:15:00,0 days 01:19:00.000000000,2018-12-04 00:00:00,False
Deep Work,2018-12-04 10:53:00,2018-12-04 12:20:00,0 days 01:27:00.000000000,2018-12-04 00:00:00,False
Deep Work,2018-12-04 14:18:00,2018-12-04 16:03:00,0 days 01:45:00.000000000,2018-12-04 00:00:00,False
Gym,2018-12-04 16:13:00,2018-12-04 17:49:00,0 days 01:36:00.000000000,2018-12-04 00:00:00,False
Learning,2018-12-04 19:36:00,2018-12-04 20:23:00,0 days 00:47:00.000000000,2018-12-04 00:00:00,False
Shallow Work,2018-12-04 21:24:00,2018-12-04 21:43:00,0 days 00:19:00.000000000,2018-12-04 00:00:00,False
Deep Work,2018-12-04 21:55:00,2018-12-04 22:32:00,0 days 00:37:00.000000000,2018-12-04 00:00:00,False
Shallow Work,2018-12-04 22:32:00,2018-12-04 22:51:00,0 days 00:19:00.000000000,2018-12-04 00:00:00,False
Deep Work,2018-12-05 09:14:00,2018-12-05 09:27:00,0 days 00:13:00.000000000,2018-12-05 00:00:00,False
Deep Work,2018-12-05 09:33:00,2018-12-05 10:28:00,0 days 00:55:00.000000000,2018-12-05 00:00:00,False
Deep Work,2018-12-05 10:58:00,2018-12-05 12:12:00,0 days 01:14:00.000000000,2018-12-05 00:00:00,False
Deep Work,2018-12-05 14:50:00,2018-12-05 15:34:00,0 days 00:44:00.000000000,2018-12-05 00:00:00,False
Deep Work,2018-12-05 15:42:00,2018-12-05 15:55:00,0 days 00:13:00.000000000,2018-12-05 00:00:00,False
Gym,2018-12-05 16:04:00,2018-12-05 17:42:00,0 days 01:38:00.000000000,2018-12-05 00:00:00,False
Learning,2018-12-05 19:32:00,2018-12-05 20:26:00,0 days 00:54:00.000000000,2018-12-05 00:00:00,False
Shallow Work,2018-12-05 21:31:00,2018-12-05 22:05:00,0 days 00:34:00.000000000,2018-12-05 00:00:00,False
Deep Work,2018-12-05 22:17:00,2018-12-05 23:04:00,0 days 00:47:00.000000000,2018-12-05 00:00:00,False
Deep Work,2018-12-06 09:25:00,2018-12-06 10:25:00,0 days 01:00:00.000000000,2018-12-06 00:00:00,False
Deep Work,2018-12-06 10:54:00,2018-12-06 11:58:00,0 days 01:04:00.000000000,2018-12-06 00:00:00,False
Deep Work,2018-12-06 14:42:00,2018-12-06 15:50:00,0 days 01:08:00.000000000,2018-12-06 00:00:00,False
Gym,2018-12-06 16:17:00,2018-12-06 17:59:00,0 days 01:42:00.000000000,2018-12-06 00:00:00,False
Learning,2018-12-06 19:44:00,2018-12-06 20:35:00,0 days 00:51:00.000000000,2018-12-06 00:00:00,False
Learning,2018-12-06 21:31:00,2018-12-06 22:11:00,0 days 00:40:00.000000000,2018-12-06 00:00:00,False
Deep Work,2018-12-06 22:22:00,2018-12-06 22:41:00,0 days 00:19:00.000000000,2018-12-06 00:00:00,False
Deep Work,2018-12-07 09:14:00,2018-12-07 09:50:00,0 days 00:36:00.000000000,2018-12-07 00:00:00,False
Deep Work,2018-12-07 10:02:00,2018-12-07 10:18:00,0 days 00:16:00.000000000,2018-12-07 00:00:00,False
Deep Work,2018-12-07 10:50:00,2018-12-07 12:36:00,0 days 01:46:00.000000000,2018-12-07 00:00:00,False
Deep Work,2018-12-07 15:00:00,2018-12-07 15:54:00,0 days 00:54:00.000000000,2018-12-07 00:00:00,False
Gym,2018-12-07 16:06:00,2018-12-07 17:55:00,0 days 01:49:00.000000000,2018-12-07 00:00:00,False
Learning,2018-12-07 18:58:00,2018-12-07 19:48:00,0 days 00:50:00.000000000,2018-12-07 00:00:00,False
Deep Work,2018-12-07 20:42:00,2018-12-07 21:52:00,0 days 01:10:00.000000000,2018-12-07 00:00:00,False
Deep Work,2018-12-07 21:57:00,2018-12-07 22:59:00,0 days 01:02:00.000000000,2018-12-07 00:00:00,False
Learning,2018-12-08 08:51:00,2018-12-08 09:32:00,0 days 00:41:00.000000000,2018-12-08 00:00:00,False
Shallow Work,2018-12-08 10:56:00,2018-12-08 11:11:00,0 days 00:15:00.000000000,2018-12-08 00:00:00,False
Deep Work,2018-12-08 11:24:00,2018-12-08 11:53:00,0 days 00:29:00.000000000,2018-12-08 00:00:00,False
Deep Work,2018-12-08 11:57:00,2018-12-08 12:19:00,0 days 00:22:00.000000000,2018-12-08 00:00:00,False
Deep Work,2018-12-08 14:35:00,2018-12-08 15:29:00,0 days 00:54:00.000000000,2018-12-08 00:00:00,False
Gym,2018-12-08 15:56:00,2018-12-08 17:39:00,0 days 01:43:00.000000000,2018-12-08 00:00:00,False
Learning,2018-12-08 18:39:00,2018-12-08 19:24:00,0 days 00:45:00.000000000,2018-12-08 00:00:00,False
Deep Work,2018-12-09 08:53:00,2018-12-09 09:29:00,0 days 00:36:00.000000000,2018-12-09 00:00:00,False
Learning,2018-12-09 09:52:00,2018-12-09 10:29:00,0 days 00:37:00.000000000,2018-12-09 00:00:00,False
Shallow Work,2018-12-10 10:15:00,2018-12-10 12:06:00,0 days 01:50:00.000000000,2018-12-10 00:00:00,False
Deep Work,2018-12-10 14:33:00,2018-12-10 15:15:00,0 days 00:42:00.000000000,2018-12-10 00:00:00,False
Deep Work,2018-12-10 15:22:00,2018-12-10 16:02:00,0 days 00:40:00.000000000,2018-12-10 00:00:00,False
Gym,2018-12-10 16:15:00,2018-12-10 17:49:00,0 days 01:34:00.000000000,2018-12-10 00:00:00,False
Learning,2018-12-10 19:21:00,2018-12-10 20:12:00,0 days 00:51:00.000000000,2018-12-10 00:00:00,False
