date,subscribers,views
2018-03-10,0,25
2018-03-11,1,36
2018-03-12,0,56
2018-03-13,5,17
2018-03-14,10,58
2018-03-15,1,16
2018-03-16,0,8
2018-03-17,1,6
2018-03-18,0,1
2018-03-19,1,2
2018-03-20,0,6
2018-03-21,0,1
2018-03-22,0,0
2018-03-23,0,0
2018-03-24,0,1
2018-03-25,0,2
2018-03-26,0,0
2018-03-27,0,3
2018-03-28,0,3
2018-03-29,1,3
2018-03-30,0,0
2018-03-31,0,1
2018-04-01,0,1
2018-04-02,0,1
2018-04-03,0,0
2018-04-04,0,3
2018-04-05,0,0
2018-04-06,0,0
2018-04-07,0,0
2018-04-08,0,0
2018-04-09,0,1
2018-04-10,0,1
2018-04-11,0,1
2018-04-12,0,8
2018-04-13,0,1
2018-04-14,0,0
2018-04-15,8,89
2018-04-16,4,72
2018-04-17,1,38
2018-04-18,1,27
2018-04-19,3,19
2018-04-20,0,10
2018-04-21,1,9
2018-04-22,1,20
2018-04-23,4,34
2018-04-24,0,22
2018-04-25,0,5
2018-04-26,0,3
2018-04-27,0,6
2018-04-28,0,17
2018-04-29,0,10
2018-04-30,2,15
2018-05-01,0,13
2018-05-02,0,12
2018-05-03,0,8
2018-05-04,0,6
2018-05-05,0,8
2018-05-06,0,10
2018-05-07,0,12
2018-05-08,2,11
2018-05-09,1,17
2018-05-10,0,16
2018-05-11,0,5
2018-05-12,0,9
2018-05-13,1,6
2018-05-14,2,14
2018-05-15,1,7
2018-05-16,2,29
2018-05-17,0,9
2018-05-18,1,16
2018-05-19,0,20
2018-05-20,0,13
2018-05-21,0,7
2018-05-22,0,6
2018-05-23,0,14
2018-05-24,0,25
2018-05-25,1,10
2018-05-26,1,6
2018-05-27,2,9
2018-05-28,0,4
2018-05-29,0,14
2018-05-30,0,5
2018-05-31,1,6
2018-06-01,1,3
2018-06-02,0,6
2018-06-03,1,19
2018-06-04,1,11
2018-06-05,0,16
2018-06-06,0,5
2018-06-07,3,15
2018-06-08,0,19
2018-06-09,2,13
2018-06-10,2,9
2018-06-11,1,23
2018-06-12,0,10
2018-06-13,0,11
2018-06-14,0,3
2018-06-15,2,8
2018-06-16,0,3
2018-06-17,1,9
2018-06-18,0,12
2018-06-19,0,15
2018-06-20,0,15
2018-06-21,0,13
2018-06-22,0,9
2018-06-23,0,6
2018-06-24,2,12
2018-06-25,0,9
2018-06-26,0,22
2018-06-27,0,10
2018-06-28,0,9
2018-06-29,1,20
2018-06-30,0,13
2018-07-01,1,11
2018-07-02,0,5
2018-07-03,0,7
2018-07-04,-1,8
2018-07-05,1,4
2018-07-06,1,18
2018-07-07,1,31
2018-07-08,0,12
2018-07-09,0,11
2018-07-10,2,7
2018-07-11,0,5
2018-07-12,0,9
2018-07-13,0,10
2018-07-14,1,5
2018-07-15,0,15
2018-07-16,0,9
2018-07-17,1,15
2018-07-18,0,8
2018-07-19,0,10
2018-07-20,0,3
2018-07-21,1,15
2018-07-22,0,10
2018-07-23,1,7
2018-07-24,0,9
2018-07-25,2,15
2018-07-26,0,26
2018-07-27,1,29
2018-07-28,2,19
2018-07-29,1,20
2018-07-30,1,5
2018-07-31,0,5
2018-08-01,0,8
2018-08-02,0,7
2018-08-03,0,13
2018-08-04,1,21
2018-08-05,1,21
2018-08-06,1,15
2018-08-07,0,7
2018-08-08,0,9
2018-08-09,1,46
2018-08-10,2,13
2018-08-11,1,28
2018-08-12,1,23
2018-08-13,3,26
2018-08-14,1,22
2018-08-15,0,14
2018-08-16,1,21
2018-08-17,1,26
2018-08-18,1,26
2018-08-19,3,12
2018-08-20,0,21
2018-08-21,6,21
2018-08-22,6,45
2018-08-23,1,12
2018-08-24,1,26
2018-08-25,1,21
2018-08-26,1,30
2018-08-27,4,40
2018-08-28,2,11
2018-08-29,0,10
2018-08-30,-1,8
2018-08-31,0,11
2018-09-01,0,12
2018-09-02,1,11
2018-09-03,0,6
2018-09-04,2,17
2018-09-05,0,10
2018-09-06,0,10
2018-09-07,0,39
2018-09-08,0,20
2018-09-09,0,43
2018-09-10,1,52
2018-09-11,2,23
2018-09-12,0,29
2018-09-13,0,53
2018-09-14,1,38
2018-09-15,2,69
2018-09-16,0,87
2018-09-17,0,39
2018-09-18,0,46
2018-09-19,1,90
2018-09-20,0,30
2018-09-21,0,34
2018-09-22,1,26
2018-09-23,1,10
2018-09-24,0,14
2018-09-25,0,13
2018-09-26,2,43
2018-09-27,0,23
2018-09-28,0,21
2018-09-29,4,44
2018-09-30,4,39
2018-10-01,6,322
2018-10-02,0,210
2018-10-03,0,111
2018-10-04,2,60
2018-10-05,0,63
